listing_id,neighbourhood_name,property_type,room_type,accommodates,bathrooms,bedrooms,beds,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
27886,Centrum-West,Private room in houseboat,Private room,2,1.5,1.0,1.0,132.0,3,356,False,True,1,311.0,311.0,302.16720257234726,1917.0,216.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-04-11,v1_student
28871,Centrum-West,Private room in rental unit,Private room,2,1.0,1.0,1.0,89.0,2,730,False,True,2,732.0,729.0,201.2363387978142,1265.0,216.0,32,0.3516483516483517,2.0,730.0,13,0.41935483870967744,2.0,730.0,30,12,0.4,0,2026-04-11,v1_student
29051,Centrum-Oost,Private room in condo,Private room,2,1.0,1.0,1.0,61.0,2,730,False,True,2,849.0,841.0,245.10836277974087,2253.0,215.0,29,0.31868131868131866,1.989010989010989,730.0,12,0.3870967741935484,2.0,730.0,30,9,0.3,1,2026-04-11,v1_student
44391,Centrum-Oost,Entire rental unit,Entire home/apt,4,1.5,2.0,,,3,730,False,False,1,42.0,42.0,242.3095238095238,891.0,1330.0,0,0.0,3.0,730.0,0,0.0,3.0,730.0,30,0,0.0,1,2026-04-11,v1_student
48373,Buitenveldert - Zuidas,Entire rental unit,Entire home/apt,4,1.5,2.0,,,3,1125,False,False,1,5.0,5.0,272.2,949.0,713.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
49552,Centrum-West,Entire guest suite,Entire home/apt,3,1.0,2.0,2.0,322.0,3,1125,False,True,1,609.0,605.0,352.82758620689657,1799.0,228.0,78,0.8571428571428571,3.0,1125.0,27,0.8709677419354839,3.0,1125.0,30,4,0.13333333333333333,1,2026-04-11,v1_student
50263,Centrum-Oost,Entire condo,Entire home/apt,4,1.5,2.0,3.0,457.0,2,14,False,False,1,177.0,177.0,443.66101694915255,2467.0,222.0,91,1.0,2.0,1125.0,31,1.0,2.0,1125.0,30,30,1.0,0,2026-04-11,v1_student
50515,Bos en Lommer,Entire townhouse,Entire home/apt,5,1.5,3.0,3.0,198.0,7,18,False,False,1,20.0,20.0,303.1,533.0,231.0,81,0.8901098901098901,7.0,18.0,21,0.6774193548387096,7.0,18.0,30,30,1.0,0,2026-04-11,v1_student
50523,Centrum-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,162.0,2,365,False,True,1,563.0,560.0,263.39964476021316,1454.0,230.0,84,0.9230769230769231,2.0,365.0,24,0.7741935483870968,2.0,365.0,30,18,0.6,0,2026-04-11,v1_student
53921,IJburg - Zeeburgereiland,Entire rental unit,Entire home/apt,3,1.0,1.0,,,1,21,False,False,1,12.0,12.0,262.0833333333333,886.0,686.0,0,0.0,1.0,21.0,0,0.0,1.0,21.0,30,0,0.0,1,2026-04-11,v1_student
55709,Centrum-Oost,Entire loft,Entire home/apt,2,1.5,1.0,,,11,30,False,False,1,69.0,68.0,502.17391304347825,1983.0,333.0,0,0.0,11.0,30.0,0,0.0,11.0,30.0,30,0,0.0,1,2026-04-11,v1_student
55868,Zuid,Entire condo,Entire home/apt,4,1.5,2.0,,,3,21,False,False,1,96.0,96.0,375.90625,1272.0,978.0,0,0.0,3.0,21.0,0,0.0,3.0,21.0,30,0,0.0,1,2026-04-11,v1_student
62015,Oud-Oost,Entire rental unit,Entire home/apt,2,1.5,1.0,,,30,30,False,False,1,38.0,38.0,345.2631578947368,1307.0,741.0,0,0.0,30.0,30.0,0,0.0,30.0,30.0,30,0,0.0,1,2026-04-11,v1_student
